rule,trivial,C,P,F,A,C_std,P_std,F_std,A_std,classification,computed
48,False,0.76,1.0,0.553,0.247,0.008,0.0,0.094,0.02,LIFE-LIKE,True
49,False,0.89,0.983,0.813,0.382,0.024,0.024,0.176,0.001,LIFE-LIKE,True
50,False,0.85,1.0,1.0,0.496,0.043,0.0,0.0,0.001,LIFE-LIKE,True
51,False,1.0,1.0,0.87,0.5,0.0,0.0,0.035,0.0,LIFE-LIKE,True
52,False,0.627,1.0,0.605,0.168,0.021,0.0,0.075,0.029,LIFE-LIKE,True
53,False,0.763,1.0,0.514,0.402,0.038,0.0,0.066,0.01,LIFE-LIKE,True
54,False,0.69,0.667,0.553,0.354,0.014,0.024,0.051,0.004,LIFE-LIKE,True
55,False,0.857,1.0,0.605,0.498,0.031,0.0,0.088,0.001,LIFE-LIKE,True
56,False,0.61,0.8,0.861,0.338,0.033,0.082,0.09,0.02,LIFE-LIKE,True
57,False,0.81,0.317,1.0,0.464,0.041,0.17,0.0,0.009,LIFE-LIKE,True
58,False,0.76,0.967,1.0,0.362,0.033,0.024,0.0,0.019,LIFE-LIKE,True
59,False,0.877,0.917,0.703,0.374,0.017,0.062,0.157,0.004,LIFE-LIKE,True
60,False,0.557,1.0,0.495,0.25,0.029,0.0,0.046,0.006,LIFE-LIKE,True
61,False,0.623,0.683,0.424,0.344,0.025,0.062,0.074,0.009,LIFE-LIKE,True
62,False,0.627,0.983,0.848,0.338,0.034,0.024,0.035,0.002,LIFE-LIKE,True
63,False,0.72,1.0,0.224,0.438,0.014,0.0,0.131,0.01,LIFE-LIKE,True
64,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
65,False,0.477,0.65,0.401,0.339,0.005,0.163,0.086,0.019,LIFE-LIKE,True
66,False,0.507,1.0,0.375,0.206,0.034,0.0,0.084,0.029,LIFE-LIKE,True
67,False,0.65,0.8,0.421,0.367,0.016,0.082,0.033,0.019,LIFE-LIKE,True
68,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
69,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
70,False,0.41,1.0,1.0,0.081,0.067,0.0,0.0,0.012,LIFE-LIKE,True
71,False,0.533,1.0,0.873,0.16,0.026,0.0,0.034,0.019,LIFE-LIKE,True
72,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
73,False,0.39,0.917,0.658,0.199,0.071,0.085,0.042,0.021,LIFE-LIKE,True
74,False,0.393,1.0,0.536,0.153,0.037,0.0,0.051,0.014,LIFE-LIKE,True
75,False,0.47,0.05,0.586,0.241,0.014,0.041,0.084,0.013,COMPUTING,True
76,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
77,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
78,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
79,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
80,False,0.517,1.0,0.417,0.173,0.057,0.0,0.18,0.019,LIFE-LIKE,True
81,False,0.693,0.95,0.679,0.347,0.053,0.041,0.155,0.03,LIFE-LIKE,True
82,False,0.647,0.95,0.67,0.303,0.04,0.041,0.035,0.009,LIFE-LIKE,True
83,False,0.787,1.0,0.492,0.414,0.037,0.0,0.073,0.017,LIFE-LIKE,True
84,False,0.403,0.8,0.992,0.22,0.049,0.082,0.011,0.004,LIFE-LIKE,True
85,False,0.52,1.0,0.64,0.215,0.008,0.0,0.135,0.011,LIFE-LIKE,True
86,False,0.527,0.05,0.675,0.256,0.04,0.041,0.049,0.007,COMPUTING,True
87,False,0.617,1.0,0.048,0.44,0.025,0.0,0.067,0.005,LIFE-LIKE,True
88,False,0.377,0.983,0.427,0.187,0.021,0.024,0.082,0.011,LIFE-LIKE,True
89,False,0.49,0.083,0.564,0.24,0.022,0.047,0.116,0.01,COMPUTING,True
90,False,0.493,1.0,0.665,0.254,0.019,0.0,0.035,0.004,LIFE-LIKE,True
91,False,0.58,0.95,0.615,0.36,0.022,0.041,0.123,0.012,LIFE-LIKE,True
92,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
93,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
94,False,0.433,1.0,0.984,0.073,0.038,0.0,0.023,0.046,LIFE-LIKE,True
95,False,0.473,1.0,0.749,0.22,0.026,0.0,0.114,0.034,LIFE-LIKE,True
96,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
97,False,0.64,0.15,0.414,0.313,0.049,0.108,0.03,0.004,COMPUTING,True
98,False,0.687,0.917,0.786,0.376,0.012,0.062,0.093,0.023,LIFE-LIKE,True
99,False,0.733,0.367,1.0,0.463,0.021,0.272,0.0,0.013,LIFE-LIKE,True
100,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
101,False,0.49,0.033,0.581,0.244,0.051,0.024,0.074,0.003,COMPUTING,True
102,False,0.48,1.0,0.605,0.25,0.024,0.0,0.049,0.003,LIFE-LIKE,True
103,False,0.593,0.7,0.499,0.343,0.071,0.122,0.032,0.011,LIFE-LIKE,True
104,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
105,False,0.5,0.0,0.59,0.258,0.022,0.0,0.018,0.005,COMPUTING,True
106,False,0.517,0.3,0.587,0.257,0.021,0.108,0.068,0.006,COMPUTING,True
107,False,0.607,0.133,0.458,0.3,0.026,0.062,0.059,0.008,COMPUTING,True
108,False,0.273,1.0,0.792,0.045,0.061,0.0,0.03,0.005,CRYSTALLIZED,True
109,False,0.387,0.983,0.722,0.181,0.005,0.024,0.022,0.007,LIFE-LIKE,True
110,False,0.39,0.3,0.474,0.204,0.043,0.147,0.027,0.004,COMPUTING,True
111,False,0.493,0.883,0.502,0.334,0.045,0.103,0.209,0.042,LIFE-LIKE,True
112,False,0.617,1.0,0.776,0.269,0.026,0.0,0.109,0.034,LIFE-LIKE,True
113,False,0.773,0.75,0.833,0.283,0.037,0.041,0.236,0.008,LIFE-LIKE,True
114,False,0.77,0.817,1.0,0.378,0.022,0.047,0.0,0.01,LIFE-LIKE,True
115,False,0.873,0.9,0.646,0.384,0.037,0.141,0.145,0.011,LIFE-LIKE,True
116,False,0.493,1.0,0.7,0.198,0.045,0.0,0.08,0.033,LIFE-LIKE,True
117,False,0.603,0.917,0.737,0.31,0.042,0.085,0.104,0.015,LIFE-LIKE,True
118,False,0.603,1.0,0.91,0.339,0.046,0.0,0.065,0.003,LIFE-LIKE,True
119,False,0.803,1.0,0.248,0.426,0.025,0.0,0.065,0.033,LIFE-LIKE,True
120,False,0.523,0.233,0.621,0.241,0.025,0.131,0.094,0.014,COMPUTING,True
121,False,0.567,0.3,0.382,0.305,0.034,0.187,0.06,0.003,COMPUTING,True
122,False,0.637,0.3,0.322,0.251,0.049,0.041,0.123,0.006,COMPUTING,True
123,False,0.73,1.0,0.529,0.361,0.014,0.0,0.025,0.029,LIFE-LIKE,True
124,False,0.373,0.333,0.54,0.204,0.031,0.094,0.032,0.006,COMPUTING,True
125,False,0.5,0.883,0.393,0.313,0.043,0.131,0.059,0.003,LIFE-LIKE,True
126,False,0.537,0.2,0.377,0.247,0.069,0.041,0.029,0.01,COMPUTING,True
127,False,0.59,1.0,0.756,0.423,0.054,0.0,0.066,0.039,LIFE-LIKE,True
128,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRIVIAL,True
129,False,0.493,0.217,0.29,0.246,0.033,0.165,0.066,0.005,COMPUTING,True
130,False,0.53,1.0,0.322,0.173,0.045,0.0,0.016,0.019,LIFE-LIKE,True
